frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
12,5,0.42213204503059387,0.19335636496543884,0.22053326666355133,-0.44155964255332947,0.07914976042910231,0.40423241714732283,0.09234138721591621,215,603,,,,,-1,-1,-1,-1,,,,,,,,,
12,6,0.492487370967865,0.19335636496543884,0.22053326666355133,-0.44155964255332947,0.09234138437331824,0.4716044724025681,0.10773161515893981,160,602,,,,,-1,-1,-1,-1,,,,,,,,,
12,7,0.35177671909332275,0.1920640766620636,0.18861638009548187,-0.294373095035553,0.06595813295771612,0.33918418229581093,0.06595813272915495,197,614,,,,,-1,-1,-1,-1,,,,,,,,,
12,8,0.42213204503059387,0.1920640766620636,0.18861638009548187,-0.294373095035553,0.07914975619649817,0.40702100151367926,0.07914975592222477,199,622,,,,,-1,-1,-1,-1,,,,,,,,,
13,0,0.42213204503059387,-0.10277868807315826,0.4183463752269745,0.0,-0.039574878907956246,0.3836926916907304,0.17149113896716073,169,587,,,,,-1,-1,-1,0,0.026482976973056793,0.49004867672920227,-0.2998325228691101,0.07548579573631287,0.9568976163864136,0.35979366302490234,0.16305483877658844,0.3457680344581604,0.0
13,1,0.35177671909332275,-0.10130316019058228,0.3843967616558075,0.1471865475177765,-0.03297906822484896,0.32443387625027537,0.13191626547285315,165,646,,,,,-1,-1,-1,-1,,,,,,,,,
13,2,0.42213204503059387,-0.10130316019058228,0.3843967616558075,0.1471865475177765,-0.03957488019343807,0.389320635008819,0.15829951186190147,189,628,,,,,-1,-1,-1,-1,,,,,,,,,
13,3,0.35177671909332275,-0.167167067527771,0.3509073555469513,0.294373095035553,-0.05496511126379924,0.325734959705092,0.12092325113783026,172,638,,,,,-1,-1,-1,-1,,,,,,,,,
13,4,0.42213204503059387,-0.167167067527771,0.3509073555469513,0.294373095035553,-0.06595813072259143,0.39088193508846275,0.14510789521866713,190,629,,,,,-1,-1,-1,-1,,,,,,,,,
13,5,0.35177671909332275,-0.23510532081127167,0.3509073555469513,0.44155964255332947,-0.07695115572489672,0.3212521549545192,0.12092325113783026,150,615,,,,,-1,-1,-1,-1,,,,,,,,,
13,6,0.42213204503059387,-0.23510532081127167,0.3509073555469513,0.44155964255332947,-0.09234138295832132,0.3855025696156438,0.14510789521866713,159,616,,,,,-1,-1,-1,-1,,,,,,,,,
